datetime,CFFEX.IF1904.open,CFFEX.IF1904.high,CFFEX.IF1904.low,CFFEX.IF1904.close,CFFEX.IF1904.volume,CFFEX.IF1904.open_oi,CFFEX.IF1904.close_oi
2019-03-15 13:54:00.000000000,3727.2,3730.6,3725.2,3729.6,266,55665,55794
2019-03-15 13:55:00.000000000,3729.6,3737.4,3728.6,3737.0,335,55794,55908
2019-03-15 13:56:00.000000000,3737.0,3737.0,3733.8,3736.0,266,55908,56051
2019-03-15 13:57:00.000000000,3736.0,3737.0,3734.0,3736.6,171,56051,56102
2019-03-15 13:58:00.000000000,3736.6,3738.6,3735.6,3737.0,222,56102,56153
2019-03-15 13:59:00.000000000,3737.0,3737.0,3733.4,3734.6,134,56153,56214
2019-03-15 14:00:00.000000000,3734.6,3739.6,3733.4,3738.2,230,56214,56297
2019-03-15 14:01:00.000000000,3738.2,3738.4,3734.4,3736.0,141,56297,56332
2019-03-15 14:02:00.000000000,3736.0,3737.0,3734.4,3736.4,138,56332,56375
2019-03-15 14:03:00.000000000,3736.4,3742.8,3736.0,3742.8,344,56375,56446
2019-03-15 14:04:00.000000000,3742.8,3743.0,3739.8,3742.4,342,56446,56593
2019-03-15 14:05:00.000000000,3742.4,3746.2,3740.6,3745.6,417,56593,56767
2019-03-15 14:06:00.000000000,3745.6,3746.2,3743.2,3744.4,292,56767,56915
2019-03-15 14:07:00.000000000,3744.4,3744.6,3739.2,3739.2,183,56915,57014
2019-03-15 14:08:00.000000000,3739.2,3742.0,3738.0,3738.2,270,57014,57132
2019-03-15 14:09:00.000000000,3738.2,3738.6,3735.8,3737.8,229,57132,57244
2019-03-15 14:10:00.000000000,3737.8,3742.8,3736.0,3737.8,279,57244,57361
2019-03-15 14:11:00.000000000,3737.8,3739.6,3736.4,3737.6,130,57361,57441
2019-03-15 14:12:00.000000000,3737.6,3739.8,3736.4,3738.4,138,57441,57533
2019-03-15 14:13:00.000000000,3738.4,3738.4,3732.4,3732.4,259,57533,57629
2019-03-15 14:14:00.000000000,3732.4,3732.8,3728.8,3729.2,480,57629,57812
2019-03-15 14:15:00.000000000,3729.2,3732.2,3728.6,3732.2,234,57812,57935
2019-03-15 14:16:00.000000000,3732.2,3732.2,3729.4,3729.6,118,57935,57974
2019-03-15 14:17:00.000000000,3729.6,3740.8,3728.8,3739.0,390,57974,58175
2019-03-15 14:18:00.000000000,3739.0,3741.0,3738.4,3739.6,230,58175,58309
2019-03-15 14:19:00.000000000,3739.6,3742.4,3738.4,3741.6,230,58309,58444
2019-03-15 14:20:00.000000000,3741.6,3742.2,3740.2,3741.2,153,58444,58521
2019-03-15 14:21:00.000000000,3741.2,3746.0,3741.0,3745.8,387,58521,58687
2019-03-15 14:22:00.000000000,3745.8,3747.8,3743.6,3747.4,315,58687,58818
2019-03-15 14:23:00.000000000,3747.4,3748.0,3744.2,3747.8,190,58818,58918
2019-03-15 14:24:00.000000000,3747.8,3747.8,3742.6,3747.0,206,58918,59032
2019-03-15 14:25:00.000000000,3747.0,3747.4,3744.6,3746.8,164,59032,59136
2019-03-15 14:26:00.000000000,3746.8,3752.0,3745.0,3751.0,553,59136,59374
2019-03-15 14:27:00.000000000,3751.0,3751.4,3747.6,3749.0,208,59374,59480
2019-03-15 14:28:00.000000000,3749.0,3751.8,3747.8,3751.2,232,59480,59593
2019-03-15 14:29:00.000000000,3751.2,3753.4,3748.4,3749.2,352,59593,59716
2019-03-15 14:30:00.000000000,3749.2,3750.0,3747.0,3748.8,227,59716,59826
2019-03-15 14:31:00.000000000,3748.8,3750.6,3748.6,3749.4,230,59826,59928
2019-03-15 14:32:00.000000000,3749.4,3750.8,3743.6,3745.2,299,59928,60066
2019-03-15 14:33:00.000000000,3745.2,3747.2,3743.6,3745.0,151,60066,60141
2019-03-15 14:34:00.000000000,3745.0,3748.2,3745.0,3745.8,142,60141,60200
2019-03-15 14:35:00.000000000,3745.8,3749.0,3743.0,3746.6,204,60200,60339
2019-03-15 14:36:00.000000000,3746.6,3752.4,3745.6,3752.2,340,60339,60530
2019-03-15 14:37:00.000000000,3752.2,3754.4,3750.6,3754.2,317,60530,60669
2019-03-15 14:38:00.000000000,3754.2,3757.6,3752.2,3757.4,479,60669,60881
2019-03-15 14:39:00.000000000,3757.4,3761.6,3755.4,3761.6,602,60881,61132
2019-03-15 14:40:00.000000000,3761.6,3761.6,3758.6,3760.4,269,61132,61266
2019-03-15 14:41:00.000000000,3760.4,3760.4,3758.2,3759.8,200,61266,61353
2019-03-15 14:42:00.000000000,3759.8,3762.4,3757.6,3757.6,281,61353,61487
2019-03-15 14:43:00.000000000,3757.6,3759.8,3757.4,3757.6,216,61487,61603
2019-03-15 14:44:00.000000000,3757.6,3761.2,3757.0,3759.0,241,61603,61745
2019-03-15 14:45:00.000000000,3759.0,3759.8,3756.8,3757.0,223,61745,61898
2019-03-15 14:46:00.000000000,3757.0,3757.0,3748.4,3748.6,443,61898,62162
2019-03-15 14:47:00.000000000,3748.6,3749.8,3742.8,3743.0,594,62162,62425
2019-03-15 14:48:00.000000000,3743.0,3743.0,3736.4,3736.4,654,62425,62621
2019-03-15 14:49:00.000000000,3736.4,3740.4,3735.8,3740.2,340,62621,62749
2019-03-15 14:50:00.000000000,3740.2,3740.2,3736.6,3738.2,349,62749,62957
2019-03-15 14:51:00.000000000,3738.2,3741.0,3735.4,3741.0,462,62957,63176
2019-03-15 14:52:00.000000000,3741.0,3747.0,3740.2,3745.0,402,63176,63392
2019-03-15 14:53:00.000000000,3745.0,3745.8,3741.8,3744.4,236,63392,63537
2019-03-15 14:54:00.000000000,3744.4,3745.8,3744.2,3745.4,261,63537,63721
2019-03-15 14:55:00.000000000,3745.4,3747.0,3744.0,3744.8,316,63721,63914
2019-03-15 14:56:00.000000000,3744.8,3749.6,3744.6,3749.0,404,63914,64105
2019-03-15 14:57:00.000000000,3749.0,3749.4,3747.2,3749.2,324,64105,64263
2019-03-15 14:58:00.000000000,3749.2,3751.4,3748.4,3748.4,517,64263,64550
2019-03-15 14:59:00.000000000,3748.4,3755.2,3747.6,3751.6,648,64550,64923
2019-03-18 09:30:00.000000000,3760.8,3764.0,3758.0,3762.2,1292,64923,64254
2019-03-18 09:31:00.000000000,3762.2,3764.8,3755.8,3756.2,612,64254,63929
2019-03-18 09:32:00.000000000,3756.2,3759.4,3755.4,3757.2,552,63929,63610
2019-03-18 09:33:00.000000000,3757.2,3761.6,3756.8,3761.4,526,63610,63388
2019-03-18 09:34:00.000000000,3761.4,3763.6,3760.0,3762.0,447,63388,63177
2019-03-18 09:35:00.000000000,3762.0,3762.0,3754.8,3754.8,492,63177,62955
2019-03-18 09:36:00.000000000,3754.8,3755.8,3751.0,3752.8,493,62955,62709
2019-03-18 09:37:00.000000000,3752.8,3753.2,3748.6,3752.8,556,62709,62460
